Tst3.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
369230  00098.14,-00636.47, 00799.56, 00007.08, 00004.97, 00007.80, 00000.00, 00000.00, 00000.00, 00033.64,99486.58,14.43,0.98
369544 -00026.86,-00634.77, 00736.57,-00004.74, 00012.11, 00006.30, 00000.00, 00000.00, 00000.00, 00033.78,99485.70,14.43,0.98
369858 -00022.71,-00662.11, 00737.79,-00001.20, 00011.17, 00005.89, 00000.00, 00000.00, 00000.00, 00033.78,99507.77,14.43,0.98
370172 -00055.42,-00709.96, 00747.31, 00001.60, 00003.16, 00003.30, 00000.00, 00000.00, 00000.00, 00033.44,99520.80,14.43,0.98
370490 -00070.56,-00692.87, 00728.52,-00007.20, 00003.72, 00008.71, 00000.00, 00000.00, 00000.00, 00033.64,99495.91,14.43,0.98
370804 -00182.86,-00676.03, 00728.03,-00005.46, 00010.34, 00005.21, 00000.00, 00000.00, 00000.00, 00033.88,99467.88,14.43,0.98
371118 -00253.17,-00668.95, 00689.21, 00002.33, 00004.98, 00002.56, 00000.00, 00000.00, 00000.00, 00033.49,99482.70,14.43,0.98
371432 -00219.73,-00689.21, 00679.20,-00005.65, 00001.37, 00010.77, 00000.00, 00000.00, 00000.00, 00033.97,99508.45,14.43,0.98
371750 -00277.34,-00664.79, 00643.07,-00003.25, 00002.15, 00003.00, 00000.00, 00000.00, 00000.00, 00033.44,99492.49,14.43,0.98
372064 -00285.89,-00695.56, 00668.95, 00002.95, 00005.76, 00003.85, 00000.00, 00000.00, 00000.00, 00033.64,99511.17,14.43,0.98
372378 -00340.58,-00683.84, 00640.87, 00003.15,-00000.98,-00000.37, 00000.00, 00000.00, 00000.00, 00033.59,99502.92,14.43,0.98
372692 -00330.08,-00738.53, 00640.87, 00001.31,-00004.34,-00000.68, 00000.00, 00000.00, 00000.00, 00033.49,99505.28,14.43,0.98
373010 -00280.27,-00724.61, 00634.28,-00005.40,-00002.82,-00004.89, 00000.00, 00000.00, 00000.00, 00033.83,100431.78,14.58,0.99
373324 -00443.12,-00744.14, 00693.36,-00047.50, 00045.44, 00033.84, 00000.00, 00000.00, 00000.00, 00033.64,99476.98,14.43,0.98
373638 -00314.21,-00703.37, 00663.09, 00004.90, 00004.53, 00003.70, 00000.00, 00000.00, 00000.00, 00033.88,100351.17,14.54,0.99
373953 -00320.80,-00750.73, 00626.22, 00009.51, 00005.36,-00005.86, 00000.00, 00000.00, 00000.00, 00033.49,100202.13,14.54,0.99
374271 -00340.33,-00661.87, 00638.18,-00005.32,-00008.67, 00000.57, 00000.00, 00000.00, 00000.00, 00033.49,99494.23,14.43,0.98
374585 -00354.25,-00666.02, 00669.19,-00005.10,-00000.47,-00001.05, 00000.00, 00000.00, 00000.00, 00033.68,99603.79,14.44,0.98
374899 -00336.91,-00652.59, 00646.00,-00003.46,-00003.01,-00002.57, 00000.00, 00000.00, 00000.00, 00033.59,101689.88,14.75,1.00
37513 -00380.62,-00646.73, 00632.57,-00002.63,-00003.49, 00003.65, 00000.00, 00000.00, 00000.00, 00033.64,99498.13,14.43,0.98
375543 -00351.81,-00699.95, 00631.84,-00005.55, 00000.34,-00004.86, 00000.00, 00000.00, 00000.00, 00033.59,99593.78,14.42,0.98
375857 -00335.21,-00669.43, 00622.56,-00000.11, 00001.82,-00004.02, 00000.00, 00000.00, 00000.00, 00033.78,100061.67,14.52,0.99
376171 -00192.14,-00680.91, 00624.27,-00006.58,-00021.32,-00011.56, 00000.00, 00000.00, 00000.00, 00033.78,99587.20,14.44,0.98
376485 -00115.97,-00763.43, 00659.91,-00000.05,-00029.89,-00012.67, 00000.00, 00000.00, 00000.00, 00033.35,100409.33,14.57,0.99
376810  00014.65,-00721.92, 00685.06, 00001.95,-00004.24,-00003.01, 00000.00, 00000.00, 00000.00, 00033.64,99688.77,14.45,0.98
377124  00040.53,-00750.00, 00681.15,-00003.47, 00001.72,-00002.76, 00000.00, 00000.00, 00000.00, 00033.83,101910.97,14.80,1.01
377438  00029.30,-00730.96, 00686.77, 00000.36, 00001.55, 00000.14, 00000.00, 00000.00, 00000.00, 00033.59,100360.66,14.50,0.98
377756  00013.18,-00736.57, 00689.70, 00003.02,-00000.11, 00003.42, 00000.00, 00000.00, 00000.00, 00033.35,101721.05,14.76,1.01
378069  00016.85,-00718.26, 00681.88,-00001.90,-00000.29, 00000.48, 00000.00, 00000.00, 00000.00, 00033.78,99511.08,14.43,0.98
378383  00027.34,-00725.59, 00678.22, 00001.62, 00004.39, 00003.12, 00000.00, 00000.00, 00000.00, 00033.68,100764.40,14.61,0.99
378697 -00029.05,-00737.30, 00698.00,-00003.31, 00014.56, 00006.18, 00000.00, 00000.00, 00000.00, 00033.83,99510.18,14.43,0.98
379015 -00249.02,-00658.45, 00655.76, 00008.96, 00030.50, 00017.95, 00000.00, 00000.00, 00000.00, 00033.68,100690.01,14.61,0.99
379329 -00390.87,-00651.61, 00718.99,-00003.73, 00027.02, 00003.07, 00000.00, 00000.00, 00000.00, 00033.64,99488.75,14.43,0.98
379643 -00448.49,-00557.13, 00635.01, 00004.64, 00005.27, 00005.56, 00000.00, 00000.00, 00000.00, 00033.49,100882.13,14.64,1.00
379957 -00453.37,-00642.58, 00631.84,-00001.50,-00003.79,-00004.11, 00000.00, 00000.00, 00000.00, 00033.88,99947.77,14.49,0.98
380275 -00399.66,-00641.36, 00602.78,-00018.60,-00023.44,-00030.82, 00000.00, 00000.00, 00000.00, 00033.59,100274.55,14.55,0.99
380589 -00021.00,-00684.81, 00679.69,-00016.03,-00045.68,-00034.24, 00000.00, 00000.00, 00000.00, 00033.64,99607.90,14.44,0.98
380903  00128.42,-00779.30, 00650.88, 00005.14,-00011.36,-00000.94, 00000.00, 00000.00, 00000.00, 00033.68,100253.91,14.55,0.99
381217  00164.31,-00689.70, 00698.00, 00005.08,-00003.37, 00003.00, 00000.00, 00000.00, 00000.00, 00033.78,99512.48,14.43,0.98
381531  00120.85,-00690.19, 00682.86, 00000.27, 00002.75,-00000.15, 00000.00, 00000.00, 00000.00, 00033.59,101134.69,14.67,1.00
381845  00093.99,-00740.97, 00675.78,-00000.87,-00002.30,-00001.16, 00000.00, 00000.00, 00000.00, 00034.02,101952.34,14.79,1.01
382159  00133.54,-00737.30, 00683.84,-00002.37, 00000.43,-00000.53, 00000.00, 00000.00, 00000.00, 00033.44,99472.60,14.43,0.98
