Test4.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
483151  00236.82, 00308.84, 00977.29, 00037.03, 00014.79, 00028.78, 00000.00, 00000.00, 00000.00, 00033.68,100147.30,14.53,0.99
483466  00204.35, 00254.15, 00959.72,-00001.27, 00001.55, 00008.12, 00000.00, 00000.00, 00000.00, 00033.83,101289.44,14.69,1.00
483780  00219.24, 00273.68, 00927.00,-00004.37,-00003.08,-00002.59, 00000.00, 00000.00, 00000.00, 00033.78,101035.80,14.66,1.00
484093  00202.39, 00280.52, 00903.56,-00014.28, 00001.46,-00004.47, 00000.00, 00000.00, 00000.00, 00033.68,100333.48,14.55,0.99
484412  00227.29,-00228.03, 00940.92,-00115.30,-00005.16,-00016.92, 00000.00, 00000.00, 00000.00, 00033.64,99908.52,14.49,0.99
484725  00242.68,-00692.38, 00655.76,-00043.34,-00008.04,-00004.94, 00000.00, 00000.00, 00000.00, 00033.68,99736.30,14.47,0.98
485040  00233.15,-00738.28, 00634.03, 00004.64,-00000.78, 00003.00, 00000.00, 00000.00, 00000.00, 00033.88,100600.85,14.59,0.99
485354  00218.51,-00732.42, 00647.95,-00004.04, 00000.30,-00000.78, 00000.00, 00000.00, 00000.00, 00033.83,100646.48,14.60,0.99
485672  00194.09,-00732.18, 00655.27,-00001.21, 00003.95,-00000.85, 00000.00, 00000.00, 00000.00, 00033.49,100602.45,14.59,0.99
485986  00223.63,-00754.88, 00627.69, 00004.38,-00001.82, 00000.25, 00000.00, 00000.00, 00000.00, 00033.30,100552.50,14.59,0.99
486300  00213.38,-00722.90, 00653.56,-00003.73,-00000.15,-00001.04, 00000.00, 00000.00, 00000.00, 00033.44,100611.37,14.59,0.99
486614  00215.58,-00709.47, 00649.17,-00001.16,-00004.46,-00003.47, 00000.00, 00000.00, 00000.00, 00033.88,100230.48,14.54,0.99
486932  00230.47,-00722.66, 00669.92,-00002.53,-00000.45,-00003.31, 00000.00, 00000.00, 00000.00, 00033.64,100307.88,14.55,0.99
487246  00218.75,-00697.51, 00671.14,-00000.93, 00001.24, 00000.61, 00000.00, 00000.00, 00000.00, 00033.49,100559.12,14.59,0.99
487560  00240.72,-00714.36, 00659.42,-00000.02,-00004.31,-00003.15, 00000.00, 00000.00, 00000.00, 00033.78,100386.77,14.56,0.99
487874  00252.69,-00720.70, 00644.04,-00006.23,-00000.74,-00006.02, 00000.00, 00000.00, 00000.00, 00033.64,100268.13,14.54,0.99
488192  00240.72,-00716.31, 00646.97, 00001.86, 00005.07, 00004.50, 00000.00, 00000.00, 00000.00, 00033.88,99640.48,14.45,0.98
