Tst7.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
233241  00284.42, 00163.33, 00860.35, 00020.02, 00012.33, 00025.68, 00000.00, 00000.00, 00000.00, 00033.97,102092.80,14.81,1.01
233555  00241.94, 00284.91, 00978.52,-00013.81,-00026.27,-00012.92, 00000.00, 00000.00, 00000.00, 00034.02,107918.21,15.67,1.07
233869  00361.57, 00191.41, 00931.15,-00002.25, 00001.40,-00018.56, 00000.00, 00000.00, 00000.00, 00033.97,108470.32,15.72,1.07
234183  00266.11, 00203.86, 00900.63, 00008.92, 00002.49,-00002.60, 00000.00, 00000.00, 00000.00, 00033.83,106110.02,15.34,1.04
234501  00368.41, 00198.49, 00932.62,-00000.44, 00005.98,-00006.60, 00000.00, 00000.00, 00000.00, 00033.88,100119.43,14.50,0.99
234815  00331.30, 00297.61, 00881.35,-00013.06,-00001.24, 00000.53, 00000.00, 00000.00, 00000.00, 00033.88,103043.02,14.97,1.02
235129  00307.62, 00311.77, 00894.78,-00000.75,-00003.74, 00004.52, 00000.00, 00000.00, 00000.00, 00033.83,103560.92,15.02,1.02
235443  00351.81, 00309.81, 00865.97, 00002.91,-00001.11, 00008.30, 00000.00, 00000.00, 00000.00, 00033.83,102680.82,14.88,1.01
235768  00339.11, 00318.12, 00862.30, 00000.21, 00003.11, 00009.22, 00000.00, 00000.00, 00000.00, 00033.83,101515.83,14.73,1.00
236082  00370.36, 00314.94, 00854.49,-00003.54,-00010.86, 00001.55, 00000.00, 00000.00, 00000.00, 00034.02,99475.79,14.43,0.98
236396  00375.49, 00329.59, 00883.30,-00008.63,-00007.83,-00003.09, 00000.00, 00000.00, 00000.00, 00033.64,99472.93,14.43,0.98
236710  00368.16, 00340.09, 00860.11, 00012.41, 00000.05, 00010.63, 00000.00, 00000.00, 00000.00, 00034.02,99477.29,14.43,0.98
237028  00396.48, 00360.11, 00831.30,-00014.74,-00001.72,-00007.08, 00000.00, 00000.00, 00000.00, 00033.59,99517.92,14.43,0.98
237342  00354.25, 00354.00, 00901.61, 00000.74,-00007.08, 00006.77, 00000.00, 00000.00, 00000.00, 00033.97,99530.77,14.43,0.98
237656  00342.29, 00305.66, 00843.51, 00003.36,-00001.48,-00006.98, 00000.00, 00000.00, 00000.00, 00033.68,99532.97,14.44,0.98
237970  00350.83, 00366.21, 00825.93, 00002.14, 00002.55, 00008.31, 00000.00, 00000.00, 00000.00, 00033.83,99522.47,14.43,0.98
238288  00383.79, 00357.18, 00836.91,-00001.15, 00001.27,-00000.60, 00000.00, 00000.00, 00000.00, 00033.88,99511.92,14.43,0.98
238602  00351.56, 00295.41, 00894.78,-00000.66,-00005.23, 00003.96, 00000.00, 00000.00, 00000.00, 00033.83,99513.09,14.43,0.98
238916  00358.40, 00406.01, 00817.63,-00006.59, 00002.34, 00000.22, 00000.00, 00000.00, 00000.00, 00033.88,99500.76,14.43,0.98
239230  00368.41, 00344.24, 00878.42,-00003.60, 00001.14,-00001.57, 00000.00, 00000.00, 00000.00, 00033.88,99482.48,14.43,0.98
239548  00410.89, 00364.01, 00691.16,-00000.73, 00006.73,-00013.84, 00000.00, 00000.00, 00000.00, 00033.68,99505.80,14.43,0.98
239608 Single button click acknowledged, data collection ENDED for file: Test7.txt
