Time,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Temp,Pa,PSI,atm
104638,  00321.29,-00400.39,948.73,-13.42,14.06,-7.5,-61.65,8.85,40.05,33.78,99731.98,14.47,0.98
104952,  00225.10,-00377.44,875.0,-21.67,0.2,-11.6,-61.5,9.9,40.35,33.83,99721.68,14.47,0.98
105281,  00238.28,-00348.14,849.12,1.57,-30.27,-35.53,-62.4,12.15,38.4,34.02,99737.29,14.47,0.98
105595,  00393.07,-00285.64,797.36,-8.18,-5.56,-17.51,-65.4,14.4,34.8,33.49,99937.22,14.49,0.99
105909,  00330.57,-00360.35,838.38,12.4,4.24,3.06,-65.1,14.85,35.25,34.12,101195.39,14.69,1.0
106223,  00324.22,-00339.36,836.43,14.71,-3.75,-6.26,-63.75,16.2,35.4,33.78,102416.2,14.86,1.01
106541,  00334.47,-00244.63,847.17,4.37,-9.34,-18.53,-66.45,16.2,34.65,33.83,102726.49,14.89,1.01
106855,  00605.96,-00341.80,830.08,-10.51,0.56,12.17,-67.5,17.4,33.9,33.88,101418.84,14.71,1.0
107169,  00420.90,-00386.72,754.88,-14.64,0.91,9.35,-64.65,12.45,34.8,33.68,101650.98,14.74,1.0
107483,  00189.45,-00516.60,899.41,-0.19,72.81,74.99,-56.85,6.3,42.6,33.64,100606.04,14.59,0.99
107801, -00474.12,-00264.16,909.67,-23.8,30.46,33.79,-43.5,2.25,48.3,33.59,98676.21,14.31,0.97
108115, -00350.10,-00398.44,811.04,16.14,12.37,-20.15,-42.15,4.5,47.7,33.68,100444.98,14.58,0.99
108429, -00290.53,-00286.62,896.48,0.9,14.91,-2.26,-41.7,6.45,49.2,33.78,98803.02,14.32,0.97
108743, -00267.09,-00486.82,858.4,11.17,7.91,-5.31,-40.65,4.5,48.75,33.78,98692.67,14.32,0.97
109061, -00344.24,-00320.80,881.84,3.53,15.92,8.04,-39.9,4.05,50.25,33.83,98692.84,14.31,0.97
109375, -00258.79,-00400.39,841.8,-2.82,1.9,-9.9,-39.15,4.05,48.75,33.59,98655.34,14.31,0.97
109689, -00236.33,-00485.84,868.16,16.92,-2.73,-2.36,-37.95,1.65,49.2,33.59,98648.45,14.31,0.97
110003, -00430.18,-00216.80,947.75,-47.63,-16.61,-2.23,-39.3,3.9,50.1,33.83,98656.94,14.31,0.97
110321, -00300.29,-00328.12,842.29,-17.31,-8.42,6.2,-39.15,4.5,50.25,33.59,98663.86,14.31,0.97
110635, -00437.99,-00527.83,778.81,1.96,-1.57,1.79,-40.05,0.75,50.55,33.83,98812.7,14.33,0.98
110949, -00333.01,-00423.34,806.64,14.97,3.92,-3.18,-39.15,0.45,48.45,33.64,99426.29,14.42,0.98
111263, -00486.82,-00468.26,721.68,-30.77,-14.26,26.05,-38.85,0.75,50.55,33.64,98657.29,14.31,0.97
111581, -00547.36,-00301.27,767.58,-24.61,-6.23,-28.31,-37.05,1.05,50.85,33.83,98665.3,14.31,0.97
111895, -00353.52,-00379.88,814.94,14.62,35.39,-53.97,-31.5,7.35,53.25,33.64,98664.45,14.31,0.97
112209, -00429.69,-00293.46,862.3,37.89,44.67,-77.86,-21.15,14.85,50.7,33.78,98642.05,14.31,0.97
112523, -00602.05,-00366.70,795.41,21.96,-7.82,-56.92,-13.65,21.0,47.1,33.97,98641.02,14.31,0.97
112841, -00251.95,-00180.66,937.99,23.31,9.47,-44.76,-11.4,23.85,47.1,33.78,98668.75,14.31,0.97
113155, -00335.94,-00266.60,907.71,39.91,-0.73,-67.23,-8.1,24.9,45.0,33.64,98665.59,14.31,0.97
113469, -00319.82,-00083.98,912.6,12.07,6.34,-13.98,-7.2,26.25,45.15,33.88,98676.78,14.31,0.97
113783, -00297.85,-00122.07,937.5,12.98,-8.63,-11.92,-9.15,26.25,45.9,33.83,98664.16,14.31,0.97
114101, -00190.92,-00084.47,997.07,41.34,11.54,-14.87,-10.05,24.9,48.75,33.88,98664.45,14.31,0.97
114415, -00144.04, 00044.43,1000.98,7.29,5.89,-13.25,-8.4,27.75,46.35,33.83,98662.98,14.31,0.97
114729, -00071.29,-00040.53,1083.01,-0.6,-10.44,-4.88,-10.5,27.6,46.2,33.35,98651.8,14.31,0.97
115043, -00025.88,-00063.48,832.03,36.9,-2.76,-34.07,-11.55,28.05,48.75,33.78,98634.78,14.3,0.97
115361, -00048.83, 00492.19,837.89,53.29,15.6,-33.5,-6.6,35.25,45.45,33.64,98660.02,14.31,0.97
115675, -00194.34, 00466.31,934.57,0.37,-17.29,-8.15,-7.2,39.0,43.65,33.68,101115.71,14.68,1.0
115989, -00094.24, 00533.20,897.46,43.92,13.97,11.84,-6.0,38.25,42.9,33.78,108154.86,15.7,1.07
116303, -00202.15, 00756.84,642.58,12.13,-48.14,35.77,-6.6,46.35,38.55,33.83,109622.58,15.89,1.08
116621, -00148.93, 00760.25,608.4,16.98,-4.74,0.86,-10.95,50.1,36.6,33.35,102187.47,14.75,1.0
116936, -00026.37, 00678.22,701.17,27.58,2.99,-10.85,-15.0,49.95,40.5,33.83,98664.04,14.31,0.97
117250,  00007.81, 00782.23,666.99,16.0,8.73,-9.67,-13.05,52.65,37.5,33.49,98672.58,14.31,0.97
117564, -00011.23, 00759.77,548.34,3.73,-0.95,2.58,-12.6,52.95,33.9,33.68,98660.53,14.31,0.97
117882,  00040.04, 00825.68,595.7,4.43,7.96,-9.32,-12.0,55.5,32.55,33.64,98666.13,14.31,0.97
118196, -00008.79, 00810.55,581.54,-0.69,0.12,-0.73,-12.15,55.35,33.15,33.78,98658.29,14.31,0.97
118510, -00026.37, 00811.04,584.96,-1.16,0.17,-3.39,-11.55,55.95,32.55,33.59,98665.84,14.31,0.97
118703, Single button click acknowledged, data collection ENDED for file: Test1.txt,,,,,,,,,,,
