Test5.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
578286  00151.37, 00335.69, 00876.95,-00002.76, 00017.44,-00001.78, 00000.00, 00000.00, 00000.00, 00033.83,99514.04,14.43,0.98
578605  00176.51, 00296.63, 00978.52,-00001.58, 00007.31, 00000.28, 00000.00, 00000.00, 00000.00, 00033.59,99503.61,14.43,0.98
578918  00136.96, 00251.46, 00958.25,-00014.87, 00004.98, 00002.60, 00000.00, 00000.00, 00000.00, 00033.78,99496.17,14.43,0.98
579232  00141.85, 00109.37, 00942.87,-00035.82, 00015.22, 00005.48, 00000.00, 00000.00, 00000.00, 00033.68,99515.65,14.43,0.98
579546  00110.11,-00199.71, 01029.79,-00070.73, 00013.25, 00000.56, 00000.00, 00000.00, 00000.00, 00033.64,99494.73,14.43,0.98
579871  00126.46,-00416.75, 00845.46,-00020.11, 00008.16, 00007.46, 00000.00, 00000.00, 00000.00, 00033.88,99509.27,14.43,0.98
580186  00088.62,-00511.47, 00889.40,-00010.67,-00008.45,-00010.71, 00000.00, 00000.00, 00000.00, 00033.78,99500.51,14.43,0.98
580500  00093.02,-00555.91, 00770.51,-00005.38, 00006.54, 00002.48, 00000.00, 00000.00, 00000.00, 00033.49,99499.46,14.43,0.98
580813  00068.12,-00577.39, 00859.62,-00010.53,-00009.05,-00010.54, 00000.00, 00000.00, 00000.00, 00033.64,99484.23,14.43,0.98
581132  00050.29,-00586.43, 00768.07,-00004.18, 00001.80, 00008.76, 00000.00, 00000.00, 00000.00, 00033.83,99487.92,14.43,0.98
581445  00128.91,-00591.06, 00805.42, 00067.15, 00002.80,-00012.47, 00000.00, 00000.00, 00000.00, 00033.64,99489.73,14.43,0.98
581760  00114.26,-00023.68, 00955.32, 00115.64, 00005.13,-00003.53, 00000.00, 00000.00, 00000.00, 00033.59,99507.39,14.43,0.98
582073  00109.62, 00368.90, 01008.79, 00005.78,-00007.18, 00001.23, 00000.00, 00000.00, 00000.00, 00033.49,99492.81,14.43,0.98
582392  00073.24, 00280.52, 00906.25,-00028.98, 00010.88, 00000.99, 00000.00, 00000.00, 00000.00, 00033.64,99479.90,14.43,0.98
582705  00027.34, 00032.71, 01004.15,-00026.11, 00017.85,-00004.89, 00000.00, 00000.00, 00000.00, 00033.78,99485.19,14.43,0.98
583020  00000.73,-00141.36, 00950.93,-00033.92, 00008.79, 00003.03, 00000.00, 00000.00, 00000.00, 00033.35,99499.25,14.43,0.98
583334 -00109.13,-00354.49, 00991.94,-00014.72, 00016.44,-00002.22, 00000.00, 00000.00, 00000.00, 00033.64,99492.59,14.43,0.98
583652 -00149.41,-00312.01, 00888.43,-00001.40, 00016.22, 00003.92, 00000.00, 00000.00, 00000.00, 00033.68,99502.30,14.43,0.98
583965 -00192.87,-00418.46, 00915.28,-00012.02, 00001.36, 00002.45, 00000.00, 00000.00, 00000.00, 00033.49,99489.25,14.43,0.98
